X-Position,Reading
0,501.0
1,513.0
2,510.0
3,506.0
4,503.0
5,509.0
6,507.0
7,506.0
8,503.0
9,511.0
10,512.0
11,512.0
12,507.0
13,504.0
14,512.0
15,511.0
16,505.0
17,512.0
18,508.0
19,508.0
20,514.0
21,505.0
22,513.0
23,507.0
24,508.0
25,510.0
26,504.0
27,513.0
28,506.0
29,506.0
30,511.0
31,505.0
32,509.0
33,505.0
34,512.0
35,502.0
36,506.0
37,504.0
38,502.0
39,505.0
40,504.0
41,505.0
42,508.0
43,505.0
44,504.0
45,504.0
46,507.0
47,503.0
48,503.0
49,504.0
50,505.0
51,504.0
52,505.0
53,505.0
54,506.0
55,505.0
56,509.0
57,505.0
58,514.0
59,505.0
60,506.0
61,509.0
62,508.0
63,508.0
64,506.0
65,506.0
66,512.0
67,506.0
68,506.0
69,510.0
70,513.0
71,506.0
