X-Position,Current_Reading,Time_Stamp
0,500.0,20_36_21_549
1,505.0,20_36_22_1766
2,503.0,20_36_22_1799
3,506.0,20_36_22_1832
4,512.0,20_36_22_1882
5,503.0,20_36_22_1915
6,511.0,20_36_22_1965
7,511.0,20_36_22_1998
8,512.0,20_36_22_2049
9,505.0,20_36_22_2081
10,506.0,20_36_22_2132
11,505.0,20_36_22_2165
12,503.0,20_36_22_2198
13,507.0,20_36_22_2248
14,512.0,20_36_22_2282
15,505.0,20_36_22_2331
16,503.0,20_36_22_2365
17,503.0,20_36_23_2415
18,506.0,20_36_23_2448
19,503.0,20_36_23_2481
20,512.0,20_36_23_2532
21,505.0,20_36_23_2565
22,502.0,20_36_23_2615
23,503.0,20_36_23_2649
24,504.0,20_36_23_2681
25,504.0,20_36_23_2732
26,503.0,20_36_23_2765
27,504.0,20_36_23_2815
28,505.0,20_36_23_2848
29,512.0,20_36_23_2898
30,508.0,20_36_23_2932
31,506.0,20_36_23_2965
32,506.0,20_36_23_3015
33,513.0,20_36_23_3049
34,509.0,20_36_23_3098
35,503.0,20_36_23_3131
36,510.0,20_36_23_3182
37,514.0,20_36_23_3215
38,506.0,20_36_23_3249
39,514.0,20_36_23_3298
40,515.0,20_36_23_3332
41,506.0,20_36_24_3382
42,514.0,20_36_24_3415
43,505.0,20_36_24_3449
44,509.0,20_36_24_3498
45,506.0,20_36_24_3531
46,506.0,20_36_24_3582
47,512.0,20_36_24_3615
48,505.0,20_36_24_3665
49,507.0,20_36_24_3699
50,504.0,20_36_24_3749
51,504.0,20_36_24_3782
52,505.0,20_36_24_3815
53,503.0,20_36_24_3865
54,500.0,20_36_24_3898
55,512.0,20_36_24_3949
56,508.0,20_36_24_3982
57,504.0,20_36_24_4032
58,503.0,20_36_24_4065
59,499.0,20_36_24_4098
60,505.0,20_36_24_4149
61,503.0,20_36_24_4181
62,511.0,20_36_24_4232
63,512.0,20_36_24_4265
64,504.0,20_36_24_4299
65,508.0,20_36_24_4348
66,504.0,20_36_25_4382
67,507.0,20_36_25_4432
68,506.0,20_36_25_4465
69,508.0,20_36_25_4515
70,507.0,20_36_25_4549
71,504.0,20_36_25_4581
72,506.0,20_36_25_4632
73,505.0,20_36_25_4665
74,506.0,20_36_25_4715
75,514.0,20_36_25_4749
76,505.0,20_36_25_4798
77,513.0,20_36_25_4832
78,506.0,20_36_25_4865
79,505.0,20_36_25_4919
80,506.0,20_36_25_4952
81,507.0,20_36_25_4986
82,512.0,20_36_25_5036
83,509.0,20_36_25_5068
84,506.0,20_36_25_5119
85,505.0,20_36_25_5152
86,506.0,20_36_25_5202
87,508.0,20_36_25_5235
88,506.0,20_36_25_5268
89,507.0,20_36_25_5318
90,505.0,20_36_25_5351
91,511.0,20_36_26_5402
92,513.0,20_36_26_5435
93,509.0,20_36_26_5485
94,504.0,20_36_26_5519
95,513.0,20_36_26_5552
96,503.0,20_36_26_5602
97,505.0,20_36_26_5635
98,503.0,20_36_26_5685
99,508.0,20_36_26_5718
100,501.0,20_36_26_5769
101,503.0,20_36_26_5802
102,509.0,20_36_26_5852
103,506.0,20_36_26_5886
104,501.0,20_36_26_5918
105,506.0,20_36_26_5968
106,512.0,20_36_26_6002
107,512.0,20_36_26_6052
108,506.0,20_36_26_6085
109,511.0,20_36_26_6119
110,504.0,20_36_26_6169
111,513.0,20_36_26_6202
112,512.0,20_36_26_6252
113,505.0,20_36_26_6285
114,505.0,20_36_26_6335
115,505.0,20_36_27_6369
116,505.0,20_36_27_6402
117,505.0,20_36_27_6452
118,505.0,20_36_27_6486
119,510.0,20_36_27_6535
120,506.0,20_36_27_6569
121,514.0,20_36_27_6602
122,514.0,20_36_27_6652
123,506.0,20_36_27_6685
124,514.0,20_36_27_6735
125,506.0,20_36_27_6769
126,511.0,20_36_27_6818
127,508.0,20_36_27_6852
128,507.0,20_36_27_6885
129,505.0,20_36_27_6935
130,505.0,20_36_27_6969
131,512.0,20_36_27_7018
132,506.0,20_36_27_7052
133,509.0,20_36_27_7102
134,513.0,20_36_27_7135
135,513.0,20_36_27_7169
136,505.0,20_36_27_7219
137,505.0,20_36_27_7252
138,504.0,20_36_27_7302
139,511.0,20_36_27_7335
140,504.0,20_36_28_7385
141,504.0,20_36_28_7419
142,503.0,20_36_28_7469
143,506.0,20_36_28_7502
144,503.0,20_36_28_7535
145,504.0,20_36_28_7585
146,510.0,20_36_28_7619
147,507.0,20_36_28_7669
148,507.0,20_36_28_7702
149,506.0,20_36_28_7752
150,511.0,20_36_28_7785
151,505.0,20_36_28_7819
152,504.0,20_36_28_7868
153,507.0,20_36_28_7902
154,508.0,20_36_28_7952
155,508.0,20_36_28_7986
156,505.0,20_36_28_8036
157,504.0,20_36_28_8068
158,513.0,20_36_28_8102
159,507.0,20_36_28_8152
160,505.0,20_36_28_8185
161,502.0,20_36_28_8235
162,506.0,20_36_28_8268
163,509.0,20_36_28_8302
164,503.0,20_36_28_8352
165,508.0,20_36_29_8385
166,512.0,20_36_29_8435
167,502.0,20_36_29_8468
168,514.0,20_36_29_8519
169,506.0,20_36_29_8552
170,503.0,20_36_29_8586
