X-Position,Current_Reading,Time_Stamp
0,503.0,8_42_16_1755
1,502.0,8_42_16_1789
2,502.0,8_42_16_1838
3,502.0,8_42_16_1871
4,503.0,8_42_16_1921
5,503.0,8_42_16_1954
6,503.0,8_42_16_1987
7,503.0,8_42_16_2037
8,503.0,8_42_16_2071
9,503.0,8_42_16_2121
10,503.0,8_42_16_2154
11,503.0,8_42_16_2204
12,504.0,8_42_16_2237
13,504.0,8_42_17_2270
14,504.0,8_42_17_2321
15,504.0,8_42_17_2354
16,504.0,8_42_17_2405
17,503.0,8_42_17_2437
18,503.0,8_42_17_2470
19,504.0,8_42_17_2521
20,503.0,8_42_17_2554
21,504.0,8_42_17_2604
22,509.0,8_42_17_2638
23,506.0,8_42_17_2687
24,505.0,8_42_17_2721
25,503.0,8_42_17_2754
26,504.0,8_42_17_2804
27,503.0,8_42_17_2838
28,504.0,8_42_17_2888
29,503.0,8_42_17_2921
30,502.0,8_42_17_2971
31,512.0,8_42_17_3004
32,506.0,8_42_17_3038
33,502.0,8_42_17_3088
34,505.0,8_42_17_3122
35,501.0,8_42_17_3171
36,500.0,8_42_17_3204
37,500.0,8_42_18_3254
38,503.0,8_42_18_3287
39,501.0,8_42_18_3337
40,500.0,8_42_18_3371
41,506.0,8_42_18_3404
42,500.0,8_42_18_3455
43,500.0,8_42_18_3487
44,500.0,8_42_18_3537
45,503.0,8_42_18_3571
46,502.0,8_42_18_3604
47,502.0,8_42_18_3654
48,501.0,8_42_18_3688
49,501.0,8_42_18_3737
50,501.0,8_42_18_3771
51,501.0,8_42_18_3805
52,502.0,8_42_18_3857
53,508.0,8_42_18_3888
54,509.0,8_42_18_3938
55,504.0,8_42_18_3971
56,506.0,8_42_18_4021
57,503.0,8_42_18_4054
58,503.0,8_42_18_4087
59,502.0,8_42_18_4138
60,511.0,8_42_18_4171
61,504.0,8_42_18_4221
62,503.0,8_42_19_4255
63,512.0,8_42_19_4304
64,503.0,8_42_19_4338
65,503.0,8_42_19_4370
66,503.0,8_42_19_4421
67,503.0,8_42_19_4454
68,504.0,8_42_19_4504
69,513.0,8_42_19_4538
