position,GSR_Reading,Time_Stamp
0,50.0,11_37_50_583
1,502.0,11_37_50_599
2,502.0,11_37_50_615
3,500.0,11_37_50_632
4,502.0,11_37_50_648
5,502.0,11_37_50_665
6,502.0,11_37_50_682
7,502.0,11_37_50_699
8,502.0,11_37_50_715
9,502.0,11_37_50_733
10,502.0,11_37_50_748
11,502.0,11_37_50_765
12,NaN,11_37_50_784
13,502.0,11_37_50_799
14,502.0,11_37_50_815
15,502.0,11_37_50_832
16,502.0,11_37_50_849
17,502.0,11_37_50_865
18,502.0,11_37_50_882
19,502.0,11_37_50_899
20,502.0,11_37_50_915
21,NaN,11_37_51_1916
22,502.0,11_37_51_1965
23,502.0,11_37_51_1999
24,502.0,11_37_51_2049
25,502.0,11_37_51_2082
26,502.0,11_37_51_2132
27,502.0,11_37_51_2166
28,502.0,11_37_51_2199
29,503.0,11_37_51_2248
30,502.0,11_37_51_2282
31,503.0,11_37_51_2332
32,503.0,11_37_51_2365
33,502.0,11_37_51_2415
34,503.0,11_37_52_2449
35,503.0,11_37_52_2498
36,503.0,11_37_52_2533
37,502.0,11_37_52_2582
38,502.0,11_37_52_2616
39,502.0,11_37_52_2649
40,502.0,11_37_52_2698
41,502.0,11_37_52_2732
42,502.0,11_37_52_2782
43,502.0,11_37_52_2815
44,502.0,11_37_52_2866
45,502.0,11_37_52_2898
46,502.0,11_37_52_2949
47,502.0,11_37_52_2982
48,502.0,11_37_52_3032
49,502.0,11_37_52_3066
50,503.0,11_37_52_3116
51,502.0,11_37_52_3149
52,502.0,11_37_52_3182
53,502.0,11_37_52_3232
54,502.0,11_37_52_3282
55,502.0,11_37_52_3315
56,502.0,11_37_52_3366
57,501.0,11_37_52_3399
58,501.0,11_37_53_3433
59,502.0,11_37_53_3482
60,501.0,11_37_53_3515
61,502.0,11_37_53_3565
62,502.0,11_37_53_3599
63,502.0,11_37_53_3649
64,502.0,11_37_53_3683
65,502.0,11_37_53_3732
66,502.0,11_37_53_3766
67,503.0,11_37_53_3815
68,503.0,11_37_53_3849
69,502.0,11_37_53_3883
70,503.0,11_37_53_3932
71,503.0,11_37_53_3965
72,502.0,11_37_53_4015
73,502.0,11_37_53_4049
74,502.0,11_37_53_4098
75,501.0,11_37_53_4132
76,502.0,11_37_53_4182
77,502.0,11_37_53_4215
78,502.0,11_37_53_4265
79,502.0,11_37_53_4299
80,502.0,11_37_53_4349
81,502.0,11_37_53_4382
82,503.0,11_37_53_4416
83,502.0,11_37_54_4465
84,502.0,11_37_54_4498
85,502.0,11_37_54_4549
86,503.0,11_37_54_4582
87,502.0,11_37_54_4632
88,503.0,11_37_54_4665
89,503.0,11_37_54_4715
90,502.0,11_37_54_4748
91,503.0,11_37_54_4799
92,502.0,11_37_54_4832
93,502.0,11_37_54_4882
94,502.0,11_37_54_4916
95,502.0,11_37_54_4966
96,502.0,11_37_54_4998
97,502.0,11_37_54_5049
98,502.0,11_37_54_5082
99,502.0,11_37_54_5116
100,502.0,11_37_54_5166
