position,GSR_Reading,Time_Stamp
0,NaN,8_29_46_558
1,502.0,8_29_46_572
2,5202.0,8_29_46_589
3,502.0,8_29_46_605
4,502.0,8_29_46_621
5,502.0,8_29_46_639
6,502.0,8_29_46_655
7,502.0,8_29_46_671
8,502.0,8_29_46_688
9,502.0,8_29_46_705
10,502.0,8_29_46_722
11,501.0,8_29_46_739
12,501.0,8_29_46_755
13,503.0,8_29_46_772
14,502.0,8_29_46_789
15,502.0,8_29_46_806
16,502.0,8_29_46_822
17,501.0,8_29_47_839
18,501.0,8_29_47_855
19,502.0,8_29_47_872
20,502.0,8_29_47_889
21,502.0,8_29_47_905
22,NaN,8_29_47_922
23,502.0,8_29_47_939
24,502.0,8_29_47_956
25,502.0,8_29_47_972
26,502.0,8_29_47_989
27,502.0,8_29_47_1006
28,502.0,8_29_47_1021
29,502.0,8_29_47_1038
30,502.0,8_29_47_1055
31,502.0,8_29_47_1072
32,502.0,8_29_47_1088
33,502.0,8_29_47_1105
34,502.0,8_29_47_1122
35,502.0,8_29_47_1138
36,502.0,8_29_47_1155
37,501.0,8_29_47_1171
38,501.0,8_29_47_1190
39,503.0,8_29_47_1206
40,502.0,8_29_47_1223
41,502.0,8_29_47_1240
42,502.0,8_29_47_1257
43,501.0,8_29_47_1273
44,501.0,8_29_47_1289
45,502.0,8_29_47_1306
46,502.0,8_29_47_1322
47,502.0,8_29_47_1339
48,NaN,8_29_48_1890
49,503.0,8_29_48_1906
50,503.0,8_29_48_1923
51,503.0,8_29_48_1940
52,502.0,8_29_48_1956
53,503.0,8_29_48_1973
54,502.0,8_29_48_1990
55,502.0,8_29_48_2006
56,503.0,8_29_48_2023
57,503.0,8_29_48_2039
58,503.0,8_29_48_2056
59,503.0,8_29_48_2073
60,504.0,8_29_48_2089
61,503.0,8_29_48_2106
62,503.0,8_29_48_2124
63,503.0,8_29_48_2139
64,502.0,8_29_48_2156
65,503.0,8_29_48_2173
66,503.0,8_29_48_2189
67,503.0,8_29_48_2207
68,503.0,8_29_48_2223
69,503.0,8_29_48_2239
70,503.0,8_29_48_2256
71,503.0,8_29_48_2272
72,502.0,8_29_48_2290
73,503.0,8_29_48_2306
74,503.0,8_29_48_2323
75,503.0,8_29_48_2340
76,502.0,8_29_48_2356
77,502.0,8_29_48_2373
78,503.0,8_29_48_2390
79,502.0,8_29_48_2406
80,502.0,8_29_48_2423
81,502.0,8_29_48_2440
82,503.0,8_29_48_2457
83,503.0,8_29_48_2473
84,502.0,8_29_48_2490
85,503.0,8_29_48_2506
86,502.0,8_29_48_2522
87,502.0,8_29_48_2539
88,502.0,8_29_48_2556
89,502.0,8_29_48_2573
90,503.0,8_29_48_2590
91,503.0,8_29_48_2606
92,503.0,8_29_48_2623
93,503.0,8_29_48_2639
94,502.0,8_29_48_2656
95,501.0,8_29_48_2673
96,502.0,8_29_48_2690
97,502.0,8_29_48_2706
98,503.0,8_29_48_2723
99,502.0,8_29_48_2740
100,502.0,8_29_48_2757
101,503.0,8_29_48_2773
102,502.0,8_29_48_2790
103,502.0,8_29_48_2807
104,502.0,8_29_48_2823
105,503.0,8_29_49_2840
106,502.0,8_29_49_2856
107,502.0,8_29_49_2873
108,502.0,8_29_49_2889
109,502.0,8_29_49_2906
110,502.0,8_29_49_2923
111,502.0,8_29_49_2939
112,502.0,8_29_49_2956
113,502.0,8_29_49_2973
114,503.0,8_29_49_2990
115,503.0,8_29_49_3007
116,502.0,8_29_49_3022
117,502.0,8_29_49_3039
118,502.0,8_29_49_3056
119,502.0,8_29_49_3073
120,503.0,8_29_49_3089
121,502.0,8_29_49_3106
122,502.0,8_29_49_3123
123,502.0,8_29_49_3139
124,503.0,8_29_49_3156
125,501.0,8_29_49_3173
126,501.0,8_29_49_3190
127,501.0,8_29_49_3217
128,503.0,8_29_49_3233
129,502.0,8_29_49_3250
130,502.0,8_29_49_3267
131,503.0,8_29_49_3283
132,502.0,8_29_49_3300
133,501.0,8_29_49_3317
134,501.0,8_29_49_3334
135,502.0,8_29_49_3349
136,503.0,8_29_49_3367
137,503.0,8_29_49_3383
138,502.0,8_29_49_3400
139,502.0,8_29_49_3417
140,501.0,8_29_49_3433
141,501.0,8_29_49_3449
142,501.0,8_29_49_3466
143,503.0,8_29_49_3483
144,502.0,8_29_49_3500
145,502.0,8_29_49_3516
